"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"212383","ADMINISTRACIÓN PORTUARIA INTEGRAL","ADMINISTRACIÓN PORTUARIA INTEGRAL DE CAMPECHE ","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","20","AVENIDA","DOS PONIENTE","CALLE","NINGUNO","CALLE","CENTRAL PONIENTE","0","SN",,,"0",,"LOCALIDAD","UNIDAD PESQUERA",,,,"24500","04","CAMPECHE","002","Campeche","0087","Lerma","2315","007","9818120816","APICAMDIRECCIONGENERAL@HOTMAIL.COM","WWW.PUERTOSDECAMPECHE.COM.MX","Fijo","19.80934068","-90.59657493","2014-12"
"221649","ADMINISTRACION PORTUARIA INTEGRAL DE CAMPECHE SA DE CV","ADMINISTRACION PORTUARIA INTEGRAL DE CAMPECHE SA DE CV","488310","Administración de puertos y muelles","31 a 50 personas","CALLE","5 SUR","AVENIDA","ADOLFO LOPEZ MATEOS","AVENIDA","ORIENTE","CALLE","CUATRO SUR",,"SN",,,,,"COLONIA","PUERTO PESQUERO",,,,"24129","04","CAMPECHE","003","Carmen","0001","Ciudad del Carmen","1210","041","9383824007",,"WWW.PUERTOSDECAMPECHE.COM.MX","Fijo","18.65029852","-91.84003011","2010-07"
"6142998","APROVISIONAMIENTOS MARITIMOS Y PETROLEROS","APROVISIONAMIENTOS MARITIMOS Y PETROLEROS SA DE CV","488310","Administración de puertos y muelles","101 a 250 personas","AVENIDA","ORIENTE","CALLE","3 SUR","CALLE","CUATRO SUR","CALLE","CUATRO SUR","5",,"5",,"0",,"COLONIA","PUERTO PESQUERO",,,,,"04","CAMPECHE","003","Carmen","0001","Ciudad del Carmen","0049","006",,"CESAR.GONZALEZ@AMAPET.MX",,"Fijo","18.64672376","-91.82904195","2010-07"
"212388","CENTRO DE COMANDO DE INCIDENTES","ADMINISTRACION PORTUARIA INTEGRAL ","488310","Administración de puertos y muelles","6 a 10 personas","AVENIDA","UNO ORIENTE","CALLE","CENTRAL ORIENTE","CALLE","SIN REFERENCIA","CALLE","PUNTO DE ARRIBO",,"SN",,,,,"LOCALIDAD","UNIDAD PESQUERA",,,,"24500","04","CAMPECHE","002","Campeche","0087","Lerma","2315","019","9811252859",,,"Fijo","19.81175221","-90.59449932","2014-12"
"218899","CONSULTORÍA Y SERVICIOS PETROLEROS CSP","CONSULTORÍA Y SERVICIOS PETROLEROS SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","51 a 100 personas","AVENIDA","CENTRAL","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","1 SUR","OTRO (ESPECIFIQUE)","NINGUNO","1","K",,,"0",,"PUERTO","INDUSTRIAL PESQUERO",,,,"24129","04","CAMPECHE","003","Carmen","0001","Ciudad del Carmen","1210","035",,"JTC@CSPMEX.COM.MX","WWW.CSPMEX.COM.MX","Fijo","18.65124405","-91.84624578","2014-12"
"212404","FARO API","ADMINISTRACION PORTUARIA INTEGRAL DEL GOBIERNO DEL ESTADO DE CAMPECHE ","488310","Administración de puertos y muelles","6 a 10 personas","PRIVADA","NINGUNO","AVENIDA","ESCENICA","AVENIDA","ESCENICA","CALLE","CARRETERA CAMPECHE-LERMA",,"SN",,,,,"COLONIA","RESURGIMIENTO",,,,"24030","04","CAMPECHE","002","Campeche","0001","San Francisco de Campeche","0573","026","9811683741",,,"Fijo","19.81718541","-90.58292077","2014-12"
"195900","PLAYA BONITA","ADMINISTRACIÓN PORTUARIA INTEGRAL DE CAMPECHE SA DE CV","488310","Administración de puertos y muelles","251 y más personas","CARRETERA","NINGUNO","AVENIDA","PASEO DEL MAR","CALLE","PLAYA BONITA","OTRO (ESPECIFIQUE)","NINGUNO","180",,,,"0",,"COLONIA","KILA",,,,"24500","04","CAMPECHE","002","Campeche","0087","Lerma","2349","033",,"JORGE.MATOS@PUERTOSCAMPECHE.COM.MX","APICAMPECHE.COM.MX","Fijo","19.79394665","-90.62035272","2010-07"
"221655","PUERTO INDUSTRIAL PESQUERO DE CHAMPOTÓN","ADMINISTRACION PORTUARIA INTEGRAL DE CAMPECHE ","488310","Administración de puertos y muelles","31 a 50 personas","CALLE","NINGUNO","CALLE","3","CALLE","NINGUNO","CALLE","6",,"SN",,,,,"COLONIA","PARAISO",,,,"24400","04","CAMPECHE","004","Champotón","0001","Champotón","1025","006",,,,"Fijo","19.36124624","-90.72000373","2010-07"
"318678","ADMINISTRACION PORTUARIA INTEGRAL DE MANZANILLO SA DE CV","ADMINISTRACION PORTUARIA INTEGRAL DE MANZANILLO SA DE CV","488310","Administración de puertos y muelles","51 a 100 personas","AVENIDA","Teniente Azueta","CALLE","Ninguno","CALLE","Ninguno","ANDADOR","San Pedro","0","SN",,,"9",,"COLONIA","BUROCRATAS",,,,"28237","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","022","3143311400","GADMON@PUERTOMANZANILLO.COM.MX","WWW.PUERTOMANZANILLO.COM.MX","Fijo","19.05897855","-104.3031421","2012-06"
"331090","AGENCIA MEXICO","AGENCIA MEXICO SC","488320","Servicios de carga y descarga para el transporte por agua","6 a 10 personas","CALLE","LAZARO CARDENAS","CALLE","FELIPE AGUILAR","CALLE","SANTIAGO HERMOSILLO","CALLE","VÍCTOR MEDINA","28",,,,,,"COLONIA","TEPEIXTLES",,,,"28239","06","COLIMA","007","Manzanillo","0001","Manzanillo","0884","033",,"AMEXICOTRAFICOMZO@HOTMAIL.COM",,"Fijo","19.06755987","-104.28565254","2010-07"
"6862297","COMERCIALIZADORA LA JUNTA","COMERCIALIZADORA LA JUNTA SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","OTRO (ESPECIFIQUE)","LICENCIADO MIGUEL DE LA MADRID HURTADO","PRIVADA","5","BOULEVARD","4","OTRO (ESPECIFIQUE)","19","0","SN",,,"0",,"COLONIA","FONDEPORT",,,,"28250","06","COLIMA","007","Manzanillo","0001","Manzanillo","0704","001",,"EDELRIO@CLJ.COM.MX",,"Fijo","19.06207963","-104.29007778","2019-04"
"318569","COMPAÑÍA TERMINAL DE MANZANILLO SA DE CV","COMPAÑÍA TERMINAL DE MANZANILLO SA DE CV","488310","Administración de puertos y muelles","101 a 250 personas","CALLE","TENIENTE AZUETA","CALLE","COLIMA","CALLE","VENUSTIANO CARRANZA","CALLE","CONSTITUCIÓN","0","SN",,,"0","ALTOS","COLONIA","TAPEIXTLES",,,,"28239","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","003",,"HECTOR_MDZ@GRUPOGUME.COM",,"Fijo","19.05728607","-104.30353354","2012-06"
"8666053","GRUPO ALMACONT","GRUPO ALMACONT SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","CALLE","SAN LUIS POTOSÍ","CALLE","BENITO JUÁREZ","CALLE","LIBRAMIENTO","CALLE","LIBRAMIENTO","31",,,,"0",,"COLONIA","16 DE SEPTIEMBRE",,,,"28239","06","COLIMA","007","Manzanillo","0001","Manzanillo","0390","002",,"JURIDICO@ALMACONT.COM","WWW.ALMACONT.COM","Fijo","19.062019","-104.287378","2019-11"
"344466","MANIOBRAS INTEGRADAS DEL PUERTO SA DE CV","MANIOBRAS INTEGRADAS DEL PUERTO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","11 a 30 personas","AVENIDA","TENIENTE AZUETA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","25",,,,"1",,"COLONIA","BUROCRATA",,,,"28250","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","001",,"BACRDENAS@MIPTERMINAL.COM",,"Fijo","19.05783706","-104.30322193","2014-12"
"9328899","MIP 7","MANIOBRAS INTEGRADAS DEL PUERTO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","6 a 10 personas","OTRO (ESPECIFIQUE)","COLOMOSTAPEIXTLES","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","SN",,,,,"COLONIA","TAPEIXTLES",,,,,"06","COLIMA","007","Manzanillo","0001","Manzanillo","0691","002",,"BCARDENAS@MIPTERMINAL.COM","WWW.MIPTERMINAL.COM","Fijo","19.07344206","-104.28133922","2020-11"
"6303349","OCUPA","OPERADORA DE LA CUENCA DEL PACIFICO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","101 a 250 personas","AVENIDA","CENTRAL SUR","CALLE","UNO PONIENTE","CALLE","PARGO","CALLE","PONIENTE UNO","0","SN",,,"0",,"PARQUE INDUSTRIAL","FONDEPORT","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL FONDEPORT",,"28219","06","COLIMA","007","Manzanillo","0001","Manzanillo","0687","008",,,,"Fijo","19.08144031","-104.29294866","2010-07"
"6304117","OCUPA","OPERADORA DE LA CUENCA DEL PACIFICO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","11 a 30 personas","CALLE","NINGUNO","PRIVADA","NINGUNO","PRIVADA","NINGUNO","PRIVADA","NINGUNO","21",,"1","PLANTA BAJA","0",,"COLONIA","BURÓCRATAS","OTRO CONGLOMERADO","PUERTO INTERIOR SAN PEDRITO","SN","28250","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","002",,,"WWW.GRUPOOCUPA.COM.MX","Fijo","19.05942857","-104.3012328","2010-07"
"348111","OFICINA DE API MANZANILLO","ADMINISTRACION PORTUARIA INTEGRAL DE MANZANILLO SA DE CV","488310","Administración de puertos y muelles","101 a 250 personas","AVENIDA","TENIENTE AZUETA","PRIVADA","NINGUNO","CALLE","CONSTITUCIÓN","CALLE","NINGUNO","9",,,,"0",,"COLONIA","BURÓCRATA",,,,"28250","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","004",,"DVIRGEN@PUERTOMANZANILLO.COM.MX","WWW.PUERTOMANZANILLO.COM.MX","Fijo","19.05938014","-104.30275608","2010-07"
"6199399","TERMINAL INTERNACIONAL DE MANZANILLO","TERMINAL INTERANCIONAL DE MANZANILLO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","AVENIDA","TENIENTE AZUETA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","29",,"EDIFICIO 2",,"0",,"COLONIA","BUROCRATA",,,,"28250","06","COLIMA","007","Manzanillo","0001","Manzanillo","0418","012",,"RUIZ.DIOSELINA@TIMSAMX.COM","WWW.TIMSAMX.COM","Fijo","19.0574913","-104.30282184","2011-03"
"6303430","TERMINALES MEXICANAS DE CARGA Y ALMACENAJES","TERMINALES MEXICANAS DE CARGA Y ALMACENAJES SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","101 a 250 personas","CALLE","BALLENA","PRIVADA","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,"COLONIA","OCEANO",,,,"28219","06","COLIMA","007","Manzanillo","0001","Manzanillo","0761","018",,"YENI.RICO@TMC.COM.MX","WWW.TMCA.MX","Fijo","19.08517222","-104.29001051","2010-07"
"453397","ADMINISTRACION PORTUARIA INTEGRAL DE PUERTO MADERO","ADMINISTRACION PORTUARIA INTEGRAL DE PUERTO MADERO ","488310","Administración de puertos y muelles","11 a 30 personas","PRIVADA","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO",,"SN",,,,,"PRIVADA","INDUSTRIAL",,,,"30830","07","CHIAPAS","089","Tapachula","0148","Puerto Madero (San Benito)","1204","003","9626286842",,,"Fijo","14.71106123","-92.3991457","2014-12"
"517867","SAN BENITO DEL PACIFICO SUR","SAN BENITO DEL PACIFICO SUR SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","11 a 30 personas","CALLE","TERCERA NORTE","CALLE","TERCERA ORIENTE","CALLE","CANAL INTERCOSTERO","CALLE","PRIMERA NORTE",,"SN",,,,,"COLONIA","PUERTO MADERO",,,,"30830","07","CHIAPAS","089","Tapachula","0148","Puerto Madero (San Benito)","0418","019","9626982234",,,"Fijo","14.71955419","-92.41885156","2010-07"
"9097282","CENPORT CONSULTORES PORTUARIOS","CONSULTORES PORTUARIOS SC","488310","Administración de puertos y muelles","6 a 10 personas","AVENIDA","AVENIDA DE LAS NACIONES","CALLE","DAKOTA","AVENIDA","INSURGENTES SUR","CALLE","FILADELFIA","38",,"EDIFICIO SIN NOMBRE","PISO 6","6",,"COLONIA","NAPOLES","EDIFICIO COMERCIAL Y DE SERVICIOS","WORLD TRADE CENTER","OFICINA 19","03810","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0219","001",,"ACCEASISTENT@GMAIL.COM","WWW.CENPORT.COM","Fijo","19.39467346","-99.17343831","2019-11"
"6858403","GMD ENERGIA Y PUERTOS","GMD ENERGIA Y PUERTOS SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","6 a 10 personas","CARRETERA","FEDERAL MÉXICO-TOLUCA (PROLONGACIÓN PASEO DE LA REFORMA)","CALLE","COAHUILA","AVENIDA","VERACRUZ","PROLONGACION","COAHUILA","4000",,"OFICINAS CORPORATIVAS","PISO 1","0",,"COLONIA","CUAJIMALPA","OTRO CONGLOMERADO","OFICINAS CORPORATIVAS","0","05000","09","CIUDAD DE MÉXICO","004","Cuajimalpa de Morelos","0001","Cuajimalpa de Morelos","0091","005",,,"WWW.GMD.COM.MX","Fijo","19.35050553","-99.30046013","2019-04"
"6863484","GRANELERA MANZANILLO","GRANELERA MANZANILLO SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","CALLE","PASEO DE LOS TAMARINDOS","CALLE","BOSQUE DE LOS TABACHINES","PRIVADA","BOSQUE DE RADIATAS","CALLE","BOSQUE DE PIÑONEROS","400","B","EDIFICIO SIN NOMBRE","PISO 17",,,"COLONIA","BOSQUE DE LAS LOMAS",,,,"05120","09","CIUDAD DE MÉXICO","004","Cuajimalpa de Morelos","0001","Cuajimalpa de Morelos","0195","001",,"MAILMEX@PACNAV.COM.MX",,"Fijo","19.38813646","-99.25112792","2019-04"
"6861943","MULTIVER DE COATZACOALCOS SA DE CV","MULTIVER DE COATZACOALCOS SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","101 a 250 personas","CALLE","NINGUNO","CALLE","BOSQUE DE LOS TABACHINES","PRIVADA","BOSQUE DE RADIATAS","CALLE","BOSQUE DE PIÑONEROS","400","B","TORRE ARCOS","PISO 17","0",,"COLONIA","BOSQUES DE LAS LOMAS","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRES ARCOS",,"05120","09","CIUDAD DE MÉXICO","004","Cuajimalpa de Morelos","0001","Cuajimalpa de Morelos","0195","001",,"WWW.MAILMEX@PACNAVMEX.COM",,"Fijo","19.38839418","-99.250762","2019-04"
"6885224","SERVICIOS EN PUERTOS Y TERMINALES","SERVICIOS EN PUERTOS Y TERMINALES SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","251 y más personas","AVENIDA","INSURGENTES SUR","CALLE","MERCADERES","CALLE","DAMAS","CERRADA","PERPETUA","1605",,"EDIFICIO SIN NOMBRE","PISO 19",,,"COLONIA","SAN JOSE INSURGENTES",,,,"03900","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0914","003",,,,"Fijo","19.36365173","-99.18237525","2019-04"
"8130674","SERVICIOS Y MANIOBRAS DE ALTAMIRA","SERVICIOS Y MANIOBRAS DE ALTAMIRA SA DE CV","488320","Servicios de carga y descarga para el transporte por agua","101 a 250 personas","CALLE","GUADALAJARA","CALLE","PUEBLA","CALLE","SINALOA","CALLE","COZUMEL","32",,,,,,"COLONIA","ROMA NORTE",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","1089","003",,"ABARAJAS@TRANSUNISA.COM",,"Fijo","19.41996349","-99.17269894","2019-11"
"847479","TRANSUNISA","TERMINALES MARITIMAS TRANSUNISA SA DE CV","488310","Administración de puertos y muelles","11 a 30 personas","CALLE","GUADALAJARA","CALLE","PUEBLA","CALLE","SINALOA","CALLE","COZUMEL","32",,,,,,"COLONIA","ROMA NORTE",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","1089","003",,"ABARAJAS@TRANSUNISA.COM",,"Fijo","19.41996126","-99.17269837","2010-07"
"1964451","API PUERTO VALLARTA","ADMINISTRACIÓN PORTUARIA INTEGRAL PUERTO VALLARTA SA DE CV","488310","Administración de puertos y muelles","31 a 50 personas","AVENIDA","BOULEVARD FRANCISCO MEDINA ASCENCIO","AVENIDA","FRANCISCO MEDINA ASCENCIO","CALLE","NINGUNO","CALLE","MARINA NACIONAL","501",,,,"0","SN","COLONIA","ZONA HOTELERA NORTE",,,,"48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","029A","018",,"JDPROMOCION@PUERTODEVALLARTA.COM.MX","WWW.PUERTODEVALLARTA.COM.MX","Fijo","20.65363527","-105.24325338","2010-07"
"8843302","PROAPIN","PROAPIN ","488320","Servicios de carga y descarga para el transporte por agua","6 a 10 personas","CALLE","28 DE OCTUBRE","CALLE","FIDEL VELAZQUEZ","AVENIDA","JOSE MARIA MORELOS Y PAVON","CALLE","FIDEL VELÁZQUEZ","107",,,,"0",,"COLONIA","SAN SEBASTIAN",,,,"50190","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0468","025",,,,"Fijo","19.28800354","-99.63793037","2019-11"
